study_hours,sleep_hours,social_activity,screen_time,stress_level,family_support,physical_activity,cgpa,anxiety_level,self_esteem,headache,sleep_quality,breathing_problem,living_conditions,safety,basic_needs,academic_performance,study_load,teacher_student_relationship,future_career_concerns,social_support,peer_pressure,extracurricular_activities,addiction,isolation,mental_health_status
5,9,6,4,3,10,10,7.13,2,9,1,2,6,0,2,3,6,1,10,5,0,2,6,6,6,0
8,5,5,11,5,8,3,7.7,6,3,8,3,1,0,0,8,6,8,8,1,8,10,4,3,4,1
0,5,1,1,5,8,6,7.88,5,5,9,4,8,3,2,6,2,7,2,0,7,4,6,7,10,1
10,3,9,9,2,7,9,7.51,4,6,5,7,0,3,3,4,9,3,4,7,10,6,9,10,2,0
10,5,10,5,6,9,5,7.17,4,6,5,5,1,3,5,10,7,5,8,9,9,6,8,5,2,1
9,4,10,11,9,10,10,7.77,8,3,10,4,2,8,6,5,5,2,6,3,4,6,6,5,1,1
2,9,10,11,4,2,5,7.53,3,8,2,2,2,5,6,0,4,10,1,10,3,2,5,5,0,0
6,8,7,6,6,1,1,6.82,8,2,9,3,9,2,8,6,5,7,4,10,0,8,0,3,2,1
3,5,6,1,5,4,7,6.21,5,6,8,6,3,5,7,4,4,2,4,6,8,5,3,2,2,1
8,9,6,1,3,0,7,6.49,2,7,3,0,4,1,3,6,7,1,8,9,7,10,7,9,5,0
2,8,7,9,1,2,10,7.33,2,7,4,2,5,1,5,4,5,6,1,3,1,10,0,5,4,0
4,6,10,14,3,0,6,6.62,5,6,2,4,0,6,10,4,5,2,0,0,3,9,5,5,1,0
2,3,0,13,2,2,10,6.65,4,6,4,5,7,2,0,2,5,8,3,7,3,10,1,1,10,0
6,10,0,11,8,3,8,3.9,8,2,7,0,5,6,7,4,4,2,3,9,6,7,8,9,8,1
4,4,7,9,4,6,7,7.23,5,4,7,7,9,2,5,7,5,7,0,8,2,0,7,8,2,0
8,4,3,0,4,4,8,7.94,5,6,7,5,8,1,1,7,7,1,9,9,7,3,8,3,8,0
6,8,4,3,6,4,8,6.85,6,4,5,3,4,3,7,1,5,8,6,8,10,6,8,3,6,1
1,10,7,6,2,0,5,8.9,0,10,0,1,6,3,3,10,4,0,1,8,6,8,1,9,5,0
3,8,4,13,3,7,1,6.51,4,7,10,2,10,2,8,0,5,2,10,10,9,2,1,10,5,0
8,7,9,8,5,3,6,7.77,3,8,9,2,3,8,3,1,6,10,8,10,3,10,8,7,2,1
1,7,3,14,7,9,2,3.6,5,5,5,2,5,5,0,10,2,1,6,3,8,5,1,2,6,1
9,7,5,2,6,4,6,6.65,8,3,10,4,5,4,6,6,6,6,6,8,5,7,3,9,7,1
8,7,4,11,5,1,8,6.18,7,4,9,1,3,5,9,2,6,4,0,10,2,10,1,6,6,1
9,6,6,10,5,0,9,7.94,4,7,6,4,5,10,4,7,7,7,8,3,6,2,0,6,5,1
4,6,9,6,5,8,9,6.72,7,3,8,2,7,7,9,3,4,1,9,1,5,5,10,1,1,1
1,6,6,6,5,1,1,6.78,6,3,7,5,10,4,10,9,3,7,8,9,7,8,9,2,6,1
3,5,3,6,2,5,5,7.73,3,8,10,5,4,3,4,9,5,6,1,2,4,8,6,3,7,0
6,6,4,1,5,0,5,3.99,3,7,7,2,1,6,3,7,5,10,9,1,5,5,10,1,8,1
7,4,2,5,2,0,8,6.37,3,6,6,4,8,4,5,1,7,4,8,0,0,4,4,8,8,0
2,6,3,1,5,8,8,7.01,7,3,1,2,10,3,0,4,3,1,1,10,7,0,2,9,6,1
0,5,3,5,4,3,4,3.9,6,4,0,5,3,4,2,5,3,9,1,5,0,2,7,10,6,0
3,5,2,12,10,8,4,7.41,10,0,1,3,3,10,10,0,1,10,7,3,2,2,4,5,10,1
1,7,9,9,4,10,8,3.54,4,5,5,2,10,3,6,0,3,6,2,6,1,3,0,0,0,0
7,8,4,2,2,4,7,7.85,3,7,1,3,6,7,10,8,7,9,2,6,5,4,8,0,6,0
3,8,4,13,4,6,6,7.14,3,6,9,2,9,7,7,4,4,3,6,9,7,10,4,7,6,0
1,4,10,1,6,0,7,6.97,7,4,3,5,9,0,8,3,2,3,9,0,7,7,2,10,1,1
5,5,6,11,8,5,5,3.41,9,0,9,3,5,2,0,0,3,7,5,8,6,10,5,5,6,1
5,8,3,14,3,7,2,7.68,3,7,2,3,3,10,3,2,6,5,6,7,6,8,7,9,6,0
9,5,3,13,1,0,6,6.98,2,7,5,3,5,3,1,3,9,8,5,9,7,6,1,6,9,0
3,6,8,5,6,8,7,6.38,4,6,7,3,2,1,1,10,3,10,8,0,4,9,10,5,1,1
5,7,5,1,2,2,7,7.31,4,7,10,1,6,4,0,10,6,1,1,7,2,5,2,1,6,0
1,5,3,4,4,0,0,7.02,6,3,5,5,5,10,4,4,3,4,7,4,1,2,6,2,7,0
9,6,1,1,4,0,6,6.42,4,7,1,3,2,7,1,9,7,5,10,0,2,8,1,7,9,0
1,4,5,15,4,10,2,3.82,6,3,4,6,0,1,3,4,3,7,5,3,10,9,10,3,3,0
9,5,1,2,6,5,1,6.3,4,6,10,6,9,8,8,9,6,3,3,6,10,0,10,7,10,1
3,7,4,2,3,10,1,6.66,3,6,5,3,4,6,10,7,5,10,5,4,2,8,4,2,5,0
7,4,5,5,4,5,7,6.57,3,8,8,6,9,5,2,2,6,6,5,10,6,2,8,1,3,0
6,7,3,5,4,0,8,3.36,6,3,5,1,1,7,7,6,6,10,9,2,0,8,6,6,9,0
8,6,2,9,5,2,2,7.68,6,5,9,2,6,1,9,5,6,6,2,10,6,9,2,0,7,1
7,7,6,2,5,6,2,6.6,3,8,4,2,6,4,5,9,6,3,7,3,5,0,1,10,5,1
4,7,1,2,5,9,5,6.22,3,7,0,4,3,3,9,10,4,0,4,1,10,7,9,2,10,1
1,8,10,12,6,2,10,6.75,8,1,9,1,5,7,4,9,2,2,10,7,9,5,8,1,0,1
4,6,5,11,5,2,9,3.74,4,7,4,5,0,0,1,9,4,1,9,1,1,8,8,4,5,1
7,6,3,12,5,2,0,8.88,6,4,4,5,1,2,10,10,6,2,10,10,9,3,8,1,9,1
9,6,5,15,1,6,5,7.27,0,10,5,4,5,9,2,5,9,4,3,5,0,4,9,9,4,0
8,7,3,0,5,3,2,6.51,4,6,6,1,1,7,7,9,6,10,1,6,8,5,2,4,7,1
8,6,3,6,5,3,10,7.31,7,4,3,5,10,4,8,8,6,0,9,6,1,8,0,2,7,1
0,7,3,12,6,2,3,6.91,7,2,6,1,3,3,10,6,2,4,0,0,3,5,8,8,5,1
8,5,8,7,3,9,8,7.52,5,6,4,6,3,5,10,10,7,1,6,7,8,8,6,9,1,0
6,5,6,1,3,10,2,6.67,5,5,5,3,9,4,6,6,6,3,9,8,8,1,1,8,2,0
8,4,2,3,3,8,0,7.97,1,10,3,5,8,2,0,10,7,5,10,6,10,3,5,7,6,0
7,9,2,9,6,1,2,3.02,8,3,7,0,9,10,5,0,5,8,2,7,0,2,10,4,9,1
0,5,5,6,7,3,6,6.82,7,3,8,5,6,4,6,0,1,9,2,3,1,3,8,9,3,1
7,5,5,7,4,7,6,7.06,5,4,1,6,6,3,5,8,6,5,2,7,1,0,7,10,3,0
7,5,3,0,6,5,10,7.51,4,6,10,5,10,0,9,8,5,9,9,2,1,1,10,6,8,1
10,7,8,3,5,6,4,7.36,6,4,3,4,0,0,10,10,7,10,2,0,7,3,5,1,3,1
2,6,3,5,4,6,0,3.11,2,9,10,4,10,6,1,9,4,1,1,7,7,9,5,2,9,0
0,8,8,2,4,1,10,6.48,4,6,7,3,4,3,8,2,3,7,5,10,9,3,7,10,0,0
7,5,3,4,6,3,7,9.21,8,3,7,3,2,0,2,10,5,4,9,5,7,4,8,1,7,1
2,7,1,15,5,9,9,6.82,3,7,8,4,2,5,5,10,3,8,2,8,3,8,7,9,10,1
2,5,1,9,9,9,7,6.44,7,3,2,5,5,10,5,7,1,9,0,2,7,0,0,10,8,1
0,10,4,8,3,5,9,7.8,1,8,0,0,3,10,7,8,3,8,9,7,6,7,1,0,8,0
10,4,3,10,6,2,9,6.17,6,4,8,7,7,10,3,0,7,3,8,8,7,2,5,2,9,1
4,7,6,12,3,8,9,6.04,4,5,0,4,3,10,5,2,5,0,5,8,0,8,7,3,2,0
9,7,10,2,3,3,1,9.18,3,7,2,2,7,0,0,5,8,10,5,6,2,10,3,8,0,0
6,7,4,4,4,9,9,6.97,2,8,2,2,3,7,8,3,6,8,9,10,9,7,3,1,7,0
9,6,5,7,5,1,2,7.41,3,7,8,2,2,8,8,7,7,8,8,9,5,7,1,8,4,1
8,6,9,5,10,5,3,4.6,10,0,0,2,4,10,6,8,4,7,1,2,0,8,9,0,0,1
6,6,3,3,4,0,0,7.02,4,7,6,2,4,2,10,6,6,4,9,2,3,3,0,8,7,0
8,6,1,7,2,5,3,6.77,2,7,1,2,9,6,0,10,8,4,8,1,8,4,9,5,7,0
7,8,9,10,5,9,4,6.65,4,6,6,0,9,4,2,0,6,9,2,0,6,6,8,7,0,1
1,10,8,2,0,0,2,7.63,1,10,0,1,0,2,4,1,5,5,2,1,0,1,6,2,4,0
0,6,9,2,4,7,10,6.0,3,7,9,3,7,4,3,0,3,0,2,4,5,6,8,7,0,0
6,4,6,3,5,4,9,4.29,4,5,9,7,7,9,4,8,5,8,0,0,5,2,1,10,3,1
6,6,3,8,6,5,1,7.23,7,2,7,3,7,6,6,3,5,4,9,9,1,5,9,8,6,1
7,10,2,4,6,1,5,6.04,8,3,9,0,9,6,8,9,5,6,6,3,5,5,4,6,7,1
4,5,9,7,3,1,7,9.48,5,4,9,5,3,8,0,7,5,10,9,10,9,5,1,3,2,0
2,9,2,15,4,8,6,6.89,5,5,1,1,8,7,4,4,4,7,6,9,1,9,9,5,9,0
7,9,8,5,3,2,10,6.27,4,7,2,0,9,3,2,4,7,4,1,9,7,1,6,5,1,0
5,5,4,2,2,5,0,3.1,2,8,7,6,2,4,2,4,6,2,5,0,6,8,8,1,6,0
10,7,2,14,5,9,3,7.16,5,6,2,2,6,4,10,10,7,5,3,9,5,7,2,1,9,1
2,9,4,7,2,4,2,8.42,2,9,0,0,5,9,1,4,5,6,10,7,9,6,0,10,7,0
0,6,1,11,4,3,5,6.36,4,6,8,5,8,1,5,2,3,3,6,4,5,10,3,4,9,0
2,6,10,8,3,9,8,7.79,1,8,7,5,3,6,5,5,4,8,6,9,8,8,3,0,0,0
4,5,3,7,6,1,8,7.34,4,6,3,4,3,6,2,0,4,10,3,3,8,3,10,4,5,1
2,5,9,12,8,7,6,7.85,10,0,7,3,5,8,0,7,2,3,2,2,9,1,5,9,2,1
0,6,1,3,2,9,8,7.96,0,9,4,3,7,8,6,3,4,10,6,8,9,3,4,2,7,0
4,4,1,13,1,6,7,7.08,0,10,2,4,2,3,1,5,6,9,8,5,1,9,4,2,7,0
9,6,7,13,4,10,4,7.7,4,7,0,5,10,4,7,1,7,1,3,0,2,10,8,7,3,0
6,5,0,12,5,1,8,6.09,5,5,9,4,7,6,2,1,5,8,5,7,9,2,10,10,9,1
6,7,6,10,5,5,6,6.44,6,5,4,1,7,9,0,7,5,3,6,9,6,1,0,2,2,1
10,4,4,5,4,7,4,6.47,4,5,10,6,6,6,9,0,8,3,9,1,10,1,7,2,5,0
8,7,10,0,4,6,7,7.19,5,6,5,4,6,10,8,7,7,9,2,8,9,7,7,0,2,0
9,7,7,3,5,0,6,3.82,6,4,3,4,4,9,4,9,7,0,4,10,8,4,10,7,2,1
9,3,0,7,7,4,8,8.42,5,6,6,7,1,10,0,9,6,1,0,6,5,5,7,9,10,1
2,7,10,0,1,1,9,6.37,1,8,2,1,1,7,9,0,5,2,5,2,10,7,2,9,0,0
6,8,6,2,4,5,0,6.22,2,7,6,3,9,7,10,8,6,6,4,3,0,6,9,5,6,0
0,5,4,0,5,6,8,8.34,5,6,0,3,7,1,5,0,2,8,6,2,10,6,7,10,6,1
3,9,3,8,3,6,6,8.32,1,8,6,1,10,8,9,3,5,4,8,5,6,6,1,7,6,0
3,7,6,1,8,2,0,7.16,6,3,0,2,5,10,2,8,2,3,10,8,10,10,7,2,3,1
4,5,9,8,3,6,0,7.51,1,10,10,6,7,3,10,0,5,1,3,9,0,10,7,10,0,0
6,6,1,12,4,4,4,6.13,6,3,0,5,2,0,3,8,6,6,8,8,4,6,2,5,9,0
6,7,0,3,6,7,7,7.21,4,7,1,1,0,0,7,7,5,5,5,0,8,7,3,1,9,1
10,6,0,1,3,7,8,9.18,2,9,1,5,5,4,4,4,8,6,4,9,9,0,8,2,10,0
3,7,10,3,1,6,5,6.43,0,9,3,2,1,6,5,5,6,7,1,5,10,2,8,3,2,0
6,5,0,11,4,5,9,7.92,3,8,0,5,8,4,9,4,6,8,0,0,9,0,9,8,10,0
10,6,4,10,7,1,7,7.73,8,1,3,5,4,2,3,3,6,9,7,10,8,7,8,3,5,1
2,4,9,10,4,5,5,10.0,2,7,1,6,4,10,5,9,4,4,5,3,0,1,9,6,1,0
5,6,6,9,3,10,10,6.74,2,7,3,2,9,6,2,3,6,10,6,6,5,6,5,7,6,0
1,5,1,5,6,8,5,9.36,7,3,3,4,7,0,9,9,2,4,5,3,2,5,0,4,10,1
9,5,9,14,4,1,3,7.74,3,6,8,6,5,10,0,7,7,3,9,8,8,10,7,1,0,0
8,8,7,10,3,0,10,6.0,3,8,8,2,2,0,5,7,7,10,6,9,2,0,8,10,3,0
4,8,3,6,5,10,4,7.01,7,4,0,1,8,1,0,8,4,2,8,4,1,5,7,7,6,1
5,7,2,2,6,4,1,7.32,4,7,4,3,9,0,9,2,4,6,4,8,7,8,0,4,9,1
3,5,9,2,9,10,2,3.59,10,0,6,3,3,8,2,9,2,4,0,0,2,2,5,4,2,1
10,6,10,11,6,5,2,6.49,8,2,3,3,9,3,7,7,7,6,0,3,4,6,8,6,2,1
9,8,7,9,7,2,10,6.36,7,4,4,1,3,6,6,2,6,1,8,6,5,3,8,5,3,1
6,6,1,11,3,7,4,6.04,3,8,1,2,1,4,7,1,6,8,4,1,9,0,6,2,7,0
8,10,10,7,2,6,4,6.8,2,8,2,0,2,6,9,1,8,8,10,8,9,6,6,6,0,0
6,7,10,4,5,1,5,6.72,6,5,6,4,3,6,9,8,5,8,1,2,0,0,3,0,0,1
0,7,2,3,5,6,4,5.0,4,5,9,1,6,0,1,3,2,4,2,3,6,10,6,3,6,1
0,6,2,6,2,0,5,7.23,0,9,6,2,2,0,9,4,4,9,0,3,10,3,9,3,8,0
8,6,9,6,4,8,7,7.31,4,7,3,4,7,10,6,1,7,8,5,7,6,8,4,5,0,0
10,6,10,12,5,6,1,6.78,3,6,0,3,7,2,3,8,7,0,5,1,4,4,10,5,0,1
8,7,0,8,5,5,3,7.46,3,8,0,3,9,9,0,6,6,1,2,4,8,6,9,9,10,1
3,8,5,8,6,1,5,7.21,4,6,3,0,10,1,10,2,3,9,2,1,10,6,4,7,6,1
8,5,1,4,5,2,4,7.19,5,6,3,6,1,6,2,5,6,4,6,5,1,2,0,0,10,1
2,4,0,12,3,0,0,3.09,3,7,5,6,3,2,4,6,4,4,0,8,4,10,1,6,10,0
6,3,1,11,3,9,8,3.51,2,7,6,7,7,6,9,5,6,5,4,8,1,7,8,3,10,0
5,7,5,12,2,4,2,6.37,2,7,8,2,0,8,7,9,6,7,2,0,1,0,1,5,6,0
7,4,3,7,8,8,1,7.18,8,1,8,5,0,10,1,10,4,0,4,3,10,3,9,9,7,1
10,3,5,9,5,5,8,7.99,3,8,9,6,3,0,1,9,7,9,10,3,8,9,10,8,6,1
8,7,8,0,4,4,6,7.8,3,7,4,4,10,2,7,5,7,8,3,0,6,3,1,2,3,0
4,10,9,8,3,2,4,6.01,5,5,9,1,1,10,8,7,5,3,5,9,3,1,8,7,0,0
0,6,9,7,10,4,5,7.14,10,0,10,2,0,5,9,7,0,7,8,1,10,5,2,2,3,1
2,8,7,5,2,7,10,7.76,2,7,2,0,7,8,0,4,5,4,1,5,7,0,1,5,5,0
9,6,0,15,4,1,3,7.93,6,4,2,3,1,4,1,3,7,0,9,9,10,2,6,1,10,0
7,6,7,15,5,4,0,7.73,3,8,5,4,3,2,3,10,6,8,7,2,10,8,8,8,1,1
10,7,8,12,6,5,3,7.14,5,4,0,2,2,7,2,4,7,7,1,8,3,9,10,1,1,1
5,6,5,2,6,9,8,7.5,4,7,6,2,1,4,0,8,4,4,3,2,0,5,5,4,6,1
7,7,9,2,8,7,0,7.51,9,0,2,3,7,5,3,9,4,10,8,2,9,1,6,5,0,1
8,7,4,7,6,7,9,9.05,6,3,4,1,2,1,10,5,6,3,3,8,2,8,2,3,6,1
3,5,5,4,2,4,2,7.71,3,8,6,6,8,3,10,2,5,7,6,2,9,1,10,6,4,0
0,8,5,9,4,8,4,3.82,4,7,6,1,9,0,1,2,3,8,10,5,0,6,2,6,7,0
0,6,8,10,5,3,6,7.98,6,5,8,3,4,3,9,0,2,6,4,5,1,0,7,6,0,1
9,5,3,13,9,8,8,9.36,10,1,0,5,8,0,4,4,5,3,1,0,1,4,6,10,8,1
3,7,1,6,2,10,5,3.08,2,8,2,2,2,3,0,5,5,6,7,6,6,6,4,6,7,0
6,5,10,4,7,6,2,6.32,7,3,8,3,4,1,7,7,4,5,10,8,3,2,5,9,2,1
1,6,10,7,5,5,6,3.99,6,3,7,2,9,5,9,10,3,10,9,8,9,3,8,10,0,1
2,6,8,9,6,3,3,7.36,5,4,1,5,5,5,1,8,3,2,9,8,8,4,2,9,0,1
0,8,1,9,4,1,2,6.86,5,4,7,0,8,7,10,6,3,9,1,1,1,2,2,8,10,0
4,7,9,3,3,7,6,7.64,3,7,7,3,7,8,2,0,5,2,2,0,8,5,10,1,0,0
0,6,8,1,6,5,10,7.71,6,5,1,2,1,7,2,6,2,0,9,5,5,2,5,4,2,1
7,7,1,2,6,2,10,7.86,5,4,7,4,1,0,3,9,5,4,6,5,9,7,10,9,7,1
0,9,7,7,6,6,6,4.11,4,6,2,2,4,2,6,8,2,7,4,3,7,6,7,8,3,1
10,7,8,14,4,9,3,7.22,3,6,6,2,4,5,8,3,8,5,9,7,6,0,4,10,2,0
0,7,9,10,3,6,6,6.64,1,9,8,3,4,0,2,10,3,7,10,4,10,1,0,10,0,0
1,4,8,12,1,5,10,7.25,1,10,3,4,3,7,0,6,5,6,2,6,7,3,2,1,1,0
1,5,9,6,6,1,1,7.95,8,2,10,6,7,5,10,8,2,1,1,8,8,4,7,2,2,1
5,6,8,12,5,7,0,6.54,7,4,5,2,10,0,9,0,5,7,10,0,7,10,3,6,3,1
6,5,1,1,3,0,1,6.58,4,5,8,6,4,9,0,9,6,3,5,8,5,9,8,8,10,0
4,6,3,5,3,0,3,6.2,2,9,10,3,0,1,10,8,5,10,9,3,7,10,5,2,7,0
0,7,6,8,4,5,7,7.98,3,7,10,4,9,5,5,3,3,4,0,6,7,3,9,9,4,0
0,7,1,14,2,4,2,7.26,4,5,4,2,4,9,4,7,4,10,7,10,1,3,3,7,8,0
2,6,0,15,3,8,9,7.96,1,8,0,4,0,7,9,2,4,7,4,3,1,8,3,10,10,0
1,7,2,3,2,6,5,7.82,1,9,2,1,3,4,6,1,4,4,4,3,10,3,9,7,7,0
4,6,3,8,4,1,5,7.71,2,9,10,2,0,0,6,7,5,4,1,3,0,3,4,3,5,0
9,3,7,1,3,6,8,7.54,1,9,8,6,5,9,2,7,8,5,6,5,9,3,6,10,4,0
5,5,5,1,1,2,8,6.13,0,10,2,5,5,1,6,2,7,6,4,4,1,1,6,5,6,0
6,6,10,15,9,0,3,6.52,7,4,10,3,0,3,8,7,3,8,7,1,6,7,9,10,2,1
3,5,1,8,7,10,8,7.48,8,1,10,6,7,3,7,10,3,10,4,8,10,3,6,7,8,1
6,7,8,11,3,7,5,8.7,4,7,9,2,3,6,2,10,6,6,8,10,2,4,4,8,4,0
10,8,1,6,5,2,1,6.37,7,2,1,2,1,1,9,5,7,5,4,5,3,7,8,1,10,1
7,8,4,6,5,10,9,6.31,6,4,3,3,0,6,4,9,6,9,2,9,3,3,1,0,8,1
10,6,3,0,7,7,10,9.18,6,4,4,2,10,6,7,8,6,3,1,5,3,4,7,4,5,1
0,9,6,12,3,6,5,6.9,4,5,6,0,2,6,1,9,3,10,4,8,1,4,9,9,6,0
5,6,7,10,7,1,1,8.02,6,3,6,2,6,2,6,5,4,9,9,0,10,5,7,2,1,1
7,6,4,5,3,0,7,7.95,2,9,8,4,9,5,10,7,7,1,9,6,5,6,2,10,7,0
4,5,9,12,2,6,3,8.13,0,9,7,5,10,5,9,1,6,10,4,2,0,2,4,5,1,0
3,6,4,6,6,0,4,9.15,8,2,1,4,9,3,9,0,3,10,5,3,4,9,7,10,5,1
1,6,1,10,7,5,7,7.09,5,4,7,4,7,0,6,9,2,8,1,0,1,10,9,0,10,1
5,7,7,13,10,10,10,8.0,8,1,7,3,4,8,10,9,2,9,4,2,8,2,8,10,1,1
5,6,1,5,2,9,7,7.95,3,6,4,5,6,1,7,1,6,10,0,6,1,8,6,3,10,0
10,6,9,5,6,10,5,6.58,7,4,2,3,1,8,0,3,7,4,2,5,5,0,3,5,2,1
0,7,5,1,4,9,3,6.12,3,6,8,1,3,7,7,9,3,4,2,0,3,9,3,1,5,0
8,8,7,15,6,7,0,7.53,7,4,6,2,5,0,0,8,6,10,2,8,5,7,2,10,4,1
10,7,5,5,2,6,6,6.07,3,8,0,1,4,10,2,6,9,2,2,3,1,9,10,10,6,0
5,4,3,3,2,3,7,7.34,2,7,7,6,5,6,8,8,6,2,7,6,1,2,7,7,7,0
2,3,3,8,3,0,8,6.66,2,9,9,5,1,9,3,8,4,0,0,3,6,4,5,3,8,0
3,8,5,14,5,0,1,6.77,4,5,4,1,6,2,9,8,4,10,5,6,2,2,9,1,3,1
10,4,3,11,3,3,0,7.51,3,7,5,4,7,9,8,7,8,4,5,4,2,9,5,0,9,0
3,6,7,0,6,4,3,9.2,5,5,8,2,10,9,0,5,3,2,0,0,6,0,9,7,5,1
2,5,8,12,7,6,4,7.08,9,2,9,5,8,8,7,10,2,10,0,3,7,9,9,9,0,1
9,3,0,7,6,3,9,6.05,8,2,7,8,5,4,2,9,6,1,2,2,6,4,8,0,10,1
2,7,3,4,8,9,0,9.09,8,1,10,4,6,10,10,6,2,10,7,5,2,7,10,6,8,1
2,8,3,0,5,0,4,7.98,6,5,2,0,0,2,6,1,3,8,5,5,2,4,2,6,9,1
3,5,1,3,2,10,5,6.08,4,5,4,6,8,7,1,10,5,9,3,0,6,3,3,5,10,0
6,2,5,0,7,9,2,7.76,7,4,3,7,5,2,6,0,4,5,4,10,2,8,2,7,6,1
3,6,2,5,3,6,6,7.48,5,6,0,3,3,6,6,4,5,2,9,1,1,0,2,9,10,0
8,7,6,1,6,1,5,6.55,4,7,4,4,9,6,8,7,6,6,2,1,6,4,0,0,5,1
0,4,10,14,8,10,3,6.35,8,3,9,7,8,6,1,2,1,8,10,9,2,0,9,0,0,1
7,6,10,4,5,1,2,3.19,4,6,6,3,0,0,7,6,6,8,10,3,4,5,5,0,0,1
6,6,4,6,2,7,4,8.98,4,6,0,5,1,10,4,4,7,0,5,8,6,9,8,5,8,0
1,7,3,1,3,9,2,3.05,2,8,3,4,2,4,9,9,4,1,5,10,1,8,4,6,7,0
7,6,4,5,7,9,9,3.54,7,4,5,4,0,10,8,7,5,7,5,1,7,10,9,9,8,1
0,5,7,5,4,9,8,7.34,6,4,10,5,1,0,7,5,3,10,8,10,1,1,1,8,3,0
10,8,2,4,5,4,8,6.83,4,7,8,3,1,6,2,5,7,0,9,7,3,3,9,9,10,1
8,6,6,4,6,9,5,6.16,7,3,10,5,6,7,2,6,6,10,10,10,3,7,3,4,3,1
8,6,5,13,6,1,10,7.7,7,4,7,4,9,6,10,6,6,10,7,0,7,2,5,0,3,1
1,5,0,2,5,4,5,7.85,3,7,1,5,5,0,9,3,3,2,5,7,10,6,6,8,10,1
6,6,6,14,4,7,3,6.81,4,6,10,5,8,2,7,9,6,10,1,2,0,6,6,4,5,0
9,5,6,15,4,5,3,6.47,3,7,2,5,4,9,8,9,7,6,3,4,8,1,3,5,2,0
2,6,0,9,6,2,1,6.47,4,7,9,3,8,2,1,9,3,7,5,0,5,9,9,8,10,1
6,9,8,14,6,7,9,7.22,6,5,4,0,9,6,2,7,5,4,8,0,3,3,9,1,0,1
9,4,5,9,4,8,3,6.3,5,5,10,5,8,3,7,5,7,1,10,5,5,0,4,2,6,0
8,4,1,10,7,4,7,7.32,6,5,6,6,1,2,1,10,5,2,1,2,5,7,3,6,10,1
3,9,4,15,4,1,9,7.85,6,3,2,0,8,5,7,7,4,8,5,7,8,9,9,2,8,0
